shard_id	row_index	ck_id	county	ck_duchy	kingdom_867	kingdom_1066	kingdom_1178	empire_867	empire_1066	empire_1178	match_status	screen_status	top_qid	top_label	top_description	historical_title_id	historical_rank	historical_exists	accepted_parentage_count	scale_status	agent_task	notes
county-scale-010	451	c_knittelfeld	Knittelfeld	Carinthia	Bavaria	Bavaria	Bavaria	Germania	Holy Roman Empire	Holy Roman Empire	exact_label	defer	Q494621	Knittelfeld	municipality in Murtal District, Styria, Austria				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-010	452	c_koblenz	Koblenz	Lower Lotharingia	Lotharingia	Lotharingia	Lotharingia	Germania	Holy Roman Empire	Holy Roman Empire	exact_label	defer	Q3104	Koblenz	German city on the banks of the Rhine and of the Moselle				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-010	453	c_kokenois	Kokenois	Latgalia	Lithuania	Lithuania	Lithuania	Baltic Empire	Baltic Empire	Baltic Empire	no_result								0	source_resolution_needed	Resolve CK3 seed to independent historical source candidate.	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
county-scale-010	454	c_cammin	Kołobrzeg	Pomerania	Pomerania	Pomerania	Pomerania	Baltic Empire	Baltic Empire	Baltic Empire	exact_label	defer	Q110011	Kołobrzeg	city and urban gmina of Poland				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-010	455	c_kolon	Kolon	Somogy	Hungary	Hungary	Hungary	Carpathia	Carpathia	Carpathia	fuzzy_label	defer	Q1072	heart	inner organ for the circulation of blood				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-010	456	c_komarom	Komárom	Visegrad	Hungary	Hungary	Hungary	Carpathia	Carpathia	Carpathia	fuzzy_label	defer	Q210796	Komárno	town in Slovakia				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-010	457	c_kontupohja	Kontupohja	Karelia	Finland	Finland	Finland	Scandinavia	Scandinavia	Scandinavia	fuzzy_label	defer	Q155108	Kondopoga	human settlement in Republic of Karelia, Russia				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-010	458	c_korinthos	Korinthos	Achaia	Hellas	Hellas	Hellas	Byzantine Empire	Byzantine Empire	Byzantine Empire	fuzzy_label	defer	Q103011	Corinth	seaside city in Peloponnese, Greece				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-010	459	c_korosten	Korosten	Turov	Ruthenia	Ruthenia	Ruthenia	Russia	Russia	Russia	exact_label	defer	Q158904	Korosten	city in Ukraine				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-010	460	c_korsun	Korsun	Kyiv	Ruthenia	Ruthenia	Ruthenia	Russia	Russia	Russia	fuzzy_label	defer	Q13133528	Korsuń	village in Drahičyn district, Belarus				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-010	461	c_koutajoki	Koutajoki	Giemajohka	Sápmi	Sápmi	Sápmi	Scandinavia	Scandinavia	Scandinavia	fuzzy_label	defer	Q76084508	Kovda River Basin	drainage basin in Fennoscandia				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-010	462	c_kozelsk	Kozelsk	Karachev	Ruthenia	Ruthenia	Ruthenia	Russia	Russia	Russia	exact_label	defer	Q154661	Kozelsk	human settlement in Kozelsky District, Kaluga Oblast, Russia				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-010	463	c_vodica	Krajina	Lower Bosnia	Croatia	Croatia	Croatia	Byzantine Empire	Byzantine Empire	Byzantine Empire	exact_label	defer	Q45172024	Krajina	street in Kvasice, Czech Republic				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-010	464	c_krajna	Krajna	Polania	Poland	Poland	Poland	West-Slavia	West-Slavia	West-Slavia	exact_label	defer	Q571255	Krajna	Slovenian human settlement				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-010	465	c_krakowska	Kraków	Vistulania	Poland	Poland	Poland	West-Slavia	West-Slavia	West-Slavia	exact_label	defer	Q31487	Kraków	capital city of Lesser Poland Voivodeship in southern Poland				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-010	466	c_kran	Kran	Philippopolis	Bulgaria	Bulgaria	Bulgaria	Byzantine Empire	Byzantine Empire	Byzantine Empire	fuzzy_label	defer	Q1021	Kranj	city in Slovenia				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-010	467	c_kranj	Kranj	Krain	Bavaria	Bavaria	Bavaria	Germania	Holy Roman Empire	Holy Roman Empire	exact_label	defer	Q1021	Kranj	city in Slovenia				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-010	468	c_krasso	Krassó	Temes	Hungary	Hungary	Hungary	Carpathia	Carpathia	Carpathia	fuzzy_label	defer	Q127666890	Krasso	family name				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
