ck_id	county	decision	recommended_source_id	recommended_source_url	recommended_title_id	recommended_title_label	recommended_rank	recommended_exists	recommended_parent_id	recommended_parent_label	recommended_parent_span	confidence	next_action	notes
c_knittelfeld	Knittelfeld	source_resolution_blocked										medium	find_bounded_historical_title_source	Top lead is a modern Austrian municipality; no independently sourced bounded title or parentage packet ready.
c_koblenz	Koblenz	source_resolution_blocked										medium	find_bounded_historical_title_source	Top lead is a city; possible electorate/archbishopric context requires a separate sourced title lead.
c_kokenois	Kokenois	rank_policy_blocked	src-historyfiles-koknese	https://www.historyfiles.co.uk/KingListsEurope/EasternKoknese.htm	title-candidate-principality-of-koknese	Principality of Koknese	Principality	c.1180..1208				medium	define_principality_rank_or_defer	Independent lead resolves Kokenois/Kukenois to Koknese, a small medieval principality; principality rank is not currently materialized for county parentage.
c_cammin	Kołobrzeg	source_resolution_blocked	src-catholic-hierarchy-kolobrzeg	https://www.catholic-hierarchy.org/diocese/dk566.html	title-candidate-diocese-of-kolobrzeg	Diocese of Kołobrzeg	TheocraticState	1000..				medium	find_cammin_or_kolobrzeg_title_source	Better lead is ecclesiastical Kołobrzeg/Cammin material, but this pass did not establish a safe bounded title span or parentage packet.
c_kolon	Kolon	reject_bad_lead										high	find_correct_historical_place_source	Top lead is the heart organ, not title material; possible Hungarian county/place resolution needs a fresh source lead.
c_komarom	Komárom	ready_title_packet	src-wikipedia-komarom-county	https://en.wikipedia.org/wiki/Kom%C3%A1rom_County	title-candidate-komarom-county	Komárom County	County	11th century..1923				medium	parentage_source_followup	Independent source supports Komárom County as a county of the Kingdom of Hungary with usable title span leads; parentage still needs direct relation/source review.
c_kontupohja	Kontupohja	source_resolution_blocked										medium	find_bounded_historical_title_source	Top lead is modern Kondopoga settlement; no independently sourced historical title packet ready.
c_korinthos	Korinthos	rank_policy_blocked	src-ascsa-corinth-history	https://www.ascsa.edu.gr/excavations/ancient-corinth/about-the-excavations-1/history-timeline	title-candidate-ancient-corinth	Ancient Corinth	City					high	define_city_rank_or_defer	Independent archaeological source resolves the seed to ancient Corinth; city/polis rank is not currently materialized for county parentage.
c_korosten	Korosten	source_resolution_blocked										medium	find_bounded_historical_title_source	Top lead is a modern Ukrainian city; no independently sourced bounded title or parentage packet ready.
c_korsun	Korsun	reject_bad_lead										high	find_correct_korsun_source	Top lead is a Belarusian village and appears wrong-place for the CK3 Kyiv seed; no title packet ready.
c_koutajoki	Koutajoki	source_resolution_blocked										low	resolve_ck3_seed	Top lead is a drainage basin/natural feature; no independent historical title candidate resolved in this pass.
c_kozelsk	Kozelsk	source_resolution_blocked										medium	find_principality_or_county_source	Top lead is a modern Russian settlement; possible principality material requires separate bounded sourcing.
c_vodica	Krajina	reject_bad_lead										high	find_correct_bosnian_krajina_source	Top lead is a street in Czechia, not title material for the Bosnia/Croatia seed.
c_krajna	Krajna	reject_bad_lead										high	find_correct_polish_krajna_source	Top lead is a Slovenian settlement, not the CK3 Polanian/Krajna seed.
c_krakowska	Kraków	source_resolution_blocked										medium	find_bounded_historical_title_source	Top lead is the modern city of Kraków; possible Kraków land/duchy material needs separate source resolution.
c_kran	Kran	source_resolution_blocked										medium	find_correct_kran_bulgaria_source	Top lead resolves to Kranj in Slovenia and may be wrong-place for the CK3 Bulgaria seed; no title packet ready.
c_kranj	Kranj	source_resolution_blocked										medium	find_bounded_historical_title_source	Top lead is a modern Slovenian city; no bounded historical title or parentage packet ready.
c_krasso	Krassó	reject_bad_lead										high	find_krasso_county_source	Top lead is a family-name item; possible Krassó/Krassó-Szörény county material requires a different sourced lead.
c_krems	Krems	source_resolution_blocked										medium	find_bounded_historical_title_source	Top lead is a modern Austrian city; no independently sourced bounded title or parentage packet ready.
c_kujawy	Kujawy	rank_policy_blocked	src-britannica-kujawsko-pomorskie	https://www.britannica.com/place/Kujawsko-Pomorskie	title-candidate-kujawy	Kujawy / Kuyavia	Region					medium	define_region_rank_or_find_duchy	Independent source supports Kujawy/Kujavia as a historic region; region semantics are not a materialized county rank.
c_kursk	Kursk	reject_bad_lead										high	find_correct_kursk_source	Top lead is the Kursk submarine, not title material; city/principality leads need a fresh source pass.
c_kiev	Kyiv	source_resolution_blocked										medium	find_principality_or_city_rank_source	Top lead is the modern city; possible Kievan/Rus principality material needs separate bounded title and parentage sourcing.
c_kyzistra	Kyzistra	rank_policy_blocked	src-wikidata-q95641454	https://www.wikidata.org/wiki/Q95641454	title-candidate-kyzistra	Kyzistra	City/Site					low	find_independent_city_or_site_source	Current lead is an encyclopedia-article item for an ancient place; even if resolved, city/site semantics are not materialized.
c_la_marche	La Marche	ready_title_packet	src-wikipedia-county-la-marche	https://en.wikipedia.org/wiki/County_of_La_Marche	title-q921473	County of La Marche	County	c.958..1527				medium	parentage_source_followup	Better lead is the medieval County of La Marche; title facts look packet-ready, but parentage needs direct relation evidence before promotion.
c_labourd	Labourd	rank_policy_blocked	src-wikidata-q671023	https://www.wikidata.org/wiki/Q671023	title-q671023	Labourd	Province					medium	define_province_rank_or_find_title	Top lead is a historical Basque province; province/former-province semantics remain blocked for this county workflow.
c_laconia	Laconia	rank_policy_blocked	src-britannica-laconia	https://www.britannica.com/place/Laconia-department-Greece	title-candidate-laconia	Laconia	Region					high	define_region_rank_or_defer	Independent source resolves Laconia as a historic region/regional unit, not a materialized county title.
c_lanarkshire	Lanarkshire	source_resolution_blocked										medium	find_bounded_county_source	Top lead is a historic Scottish county, but this pass did not establish a safe bounded title_exists span or parentage packet.
c_lancashire	Lancashire	source_resolution_blocked	src-britannica-lancashire	https://www.britannica.com/summary/Lancashire-county-England	title-q67311452	Lancashire	County					medium	find_bounded_county_source	Britannica supports Lancashire as a historic/geographic county; no safe bounded title span or parentage packet ready.
c_lanciano	Lanciano	source_resolution_blocked										medium	find_bounded_historical_title_source	Top lead is an Italian comune; no independently sourced bounded title or parentage packet ready.
c_langres	Langres	source_resolution_blocked										medium	find_bounded_historical_title_source	Top lead is a modern French commune; possible bishopric/county material needs separate source resolution.
c_lapusna	Lăpușna	source_resolution_blocked										medium	find_correct_lapusna_source	Top lead is a Belarusian village and likely wrong-place for the Moldavian seed; no title packet ready.
c_lecce	Lecce	source_resolution_blocked										medium	find_bounded_historical_title_source	Top lead is a modern Italian comune; no independently sourced bounded title or parentage packet ready.
c_leczycka	Łęczyca	source_resolution_blocked	src-wikipedia-leczyca	https://en.wikipedia.org/wiki/%C5%81%C4%99czyca	title-candidate-duchy-of-leczyca	Duchy of Łęczyca	Duchy					medium	find_bounded_duchy_source	Better source lead notes Łęczyca as a duchy/voivodeship center, but this pass did not establish safe title bounds or parentage.
c_legnica	Legnica	rank_policy_blocked	src-britannica-legnica	https://www.britannica.com/place/Legnica	title-candidate-legnica-principality	Legnica principality	Principality	1248..				medium	define_principality_rank_or_find_duchy	Britannica supports Legnica as capital of an autonomous principality from 1248; principality rank is not currently materialized.
c_ljubljana	Leibach	reject_bad_lead										high	find_ljubljana_or_carniola_source	Top lead is a family-name item; possible Ljubljana/Carniola material requires a different sourced lead.
c_liebnitz	Leibnitz	reject_bad_lead										high	find_leibnitz_styria_source	Top lead is Gottfried Wilhelm Leibniz, not the Styrian place/title seed.
c_leicestershire	Leicestershire	source_resolution_blocked										medium	find_bounded_county_source	Top lead is a historic English county, but no safe bounded title_exists span or parentage packet was established.
c_leinster	Leinster	source_resolution_blocked	src-britannica-leinster	https://www.britannica.com/place/Leinster	title-candidate-leinster	Leinster	Province/Kingdom					medium	resolve_kingdom_or_province_title	Britannica supports Leinster as an Irish province with early medieval kingdom context, but no bounded title or parentage packet is ready.
c_lennox	Lennox	reject_bad_lead										high	find_earldom_lennox_source	Top lead is a family-name item; possible earldom/mormaer title material requires a different source lead.
c_leon	Leon	already_accepted	src-wikidata-q175276	https://www.wikidata.org/wiki/Q175276	title-q175276	Kingdom of Leon	Kingdom	910..1833	title-q217196	Crown of Castile	1230..1715	high	metrics_seed	Resolved to locally accepted Kingdom of Leon parentage in fixtures; do not re-import.
c_french_leon	Léon	reject_bad_lead										high	find_breton_leon_source	Top lead is a male given-name item; possible Breton Léon/viscounty material requires a different sourced lead.
c_lesbos	Lesbos	source_resolution_blocked										medium	find_bounded_island_or_duchy_source	Top lead is a Greek island; no materialized title rank or parentage packet ready.
c_leuchtenburg	Leuchtenburg	reject_bad_lead										high	find_correct_leuchtenburg_source	Top lead resolves to Seini in Romania, a wrong-place lead for the Bavaria/Nordgau seed.
c_liege	Liege	already_accepted	src-wikidata-q158835	https://www.wikidata.org/wiki/Q158835	title-q158835	Prince-Bishopric of Liege	Duchy	985..1795	title-q12548	Holy Roman Empire	985..1795	high	metrics_seed	Resolved to locally accepted Prince-Bishopric of Liege parentage in fixtures; do not re-import.
c_lienz	Lienz	source_resolution_blocked										medium	find_county_gorizia_tyrol_source	Top lead is a modern Austrian town; possible Gorizia/Tyrol county context needs separate title sourcing.
c_lika	Lika	rank_policy_blocked	src-wikidata-q142894	https://www.wikidata.org/wiki/Q142894	title-q142894	Lika	Region					medium	define_region_rank_or_find_county	Top lead is a geographic/historical region of Croatia; region semantics are not currently materialized for county parentage.
c_lille	Lille	source_resolution_blocked										medium	find_bounded_historical_title_source	Top lead is a modern French city/commune; no bounded historical title or parentage packet ready.
c_limousin	Limousin	reject_bad_lead										high	find_correct_limousin_source	Top lead is a family-name item, not title material for the Aquitaine seed.
c_lincolnshire	Lincolnshire	source_resolution_blocked	src-britannica-parts-lindsey	https://www.britannica.com/place/Parts-of-Lindsey	title-q67533486	Lincolnshire	County					medium	find_bounded_county_source	Better lead is historic Lincolnshire/Lindsey context, but no bounded county title span or parentage packet is ready.
c_linlithgowshire	Linlithgowshire	source_resolution_blocked										medium	find_bounded_county_source	Top lead is West Lothian historic county; no safe bounded title_exists span or parentage packet was established.
