child_id	child_name	child_rank	current_fact_id	current_parent_id	current_parent_name	span	review_status	review_disposition	evidence_needed	review_note
title-q556263	Brunswick-Luneburg	Duchy	fact-q556263-parent-q12548	title-q12548	Holy Roman Empire	1235..1806	reviewed	needs_relation_model	imperial_principality_or_welf_partition_model	Bridge candidate Kingdom of Bohemia is a shared-HRE-parent false positive. Accepted text support identifies Brunswick-Luneburg as an imperial principality of the HRE; Welf partitions and successor Hanover/Brunswick states remain out of scope.
title-q830084	Brunswick-Wolfenbuttel	Duchy	fact-q830084-parent-q12548	title-q12548	Holy Roman Empire	1269..1806	reviewed	needs_relation_model	subdivision_or_imperial_principality_model	Bridge candidate Kingdom of Bohemia is a shared-HRE-parent false positive. Accepted text support identifies Brunswick-Wolfenbuttel as a subdivision of Brunswick-Luneburg until the HRE dissolution; current import only supports HRE parentage.
title-q686312	Duchy of Amalfi	Duchy	fact-q686312-parent-q12544	title-q12544	Byzantine Empire	839..958	reviewed	needs_relation_model	byzantine_vassalage_or_duchy_of_naples_model	Current text support identifies Amalfi extracting itself from Byzantine vassalage and electing a duke in 958. No intermediate kingdom-rank parent is available; Byzantine vassalage or Duchy of Naples context needs a relation model before replacement.
title-q16550783	Duchy of Anhalt	Duchy	fact-q16550783-parent-q150981	title-q150981	North German Confederation	1867..1870	reviewed	needs_relation_model	confederation_member_state_model	Bridge candidate Kingdom of Prussia is a shared-North-German-Confederation-parent false positive. Existing evidence supports confederation state membership, not Prussian parentage.
title-q16550783	Duchy of Anhalt	Duchy	fact-q16550783-parent-q151624	title-q151624	German Confederation	1863..1866	reviewed	needs_relation_model	confederation_member_state_model	Bridge candidate Kingdom of Bavaria is a shared-confederation-parent false positive. Existing evidence supports German Confederation membership, not Bavaria parentage.
title-q16550783	Duchy of Anhalt	Duchy	fact-q16550783-parent-q43287	title-q43287	German Empire	1871..1918	reviewed	needs_relation_model	federal_state_member_model	Bridge candidate Kingdom of Bavaria is a shared-German-Empire-parent false positive. Existing evidence supports German Empire state membership, not Bavaria parentage.
title-q3624335	Duchy of Austria	Duchy	fact-q3624335-parent-q12548	title-q12548	Holy Roman Empire	1156..1453	reviewed	needs_relation_model	imperial_principality_or_babenberg_habsburg_lands_model	Bridge candidate Kingdom of Italy is a shared-HRE-parent false positive. Accepted text support identifies the duchy as an HRE principality/state; Bavarian detachment and Habsburg lands context remain out of scope.
title-q47261	Duchy of Bavaria	Duchy	fact-q47261-parent-q12548	title-q12548	Holy Roman Empire	962..1805	reviewed	needs_relation_model	stem_duchy_or_imperial_state_model	Bridge candidate Kingdom of Italy is a shared-HRE-parent false positive. Accepted text support identifies Bavaria as an HRE state; stem-duchy detail, electoral rank, partitions, and Napoleonic transition remain out of scope.
title-q151095	Duchy of Berg	Duchy	fact-q151095-parent-q12548	title-q12548	Holy Roman Empire	1380..1806	reviewed	needs_relation_model	imperial_state_or_julich_cleves_berg_model	Bridge candidate Kingdom of Bohemia is a shared-HRE-parent false positive. Accepted text support is weak HRE parentage context only; Mark, Julich, Cleves, and succession layers remain unimported.
title-q2162698	Duchy of Bohemia	Duchy	fact-q2162698-parent-q12548	title-q12548	Holy Roman Empire	1002..1198	reviewed	needs_relation_model	imperial_principality_or_kingdom_elevation_model	Bridge candidate Kingdom of Italy is a shared-HRE-parent false positive. Accepted text support identifies Bohemia as an HRE state/principality until elevation to kingdom; royal confirmation and Crown of Bohemia context remain out of scope.
